District,Project Title,Project Description (Brief),Project Location,Status,Project point-of-contact,Project Category
D11,Red Pavement for Bus Lanes,Installed red pavement at the beginning of the bus lane ( approximately 400') in the NB & SB direction on SR-15 median. Enhance motorists awareness of the bus lane and prevent potential confusion with the general purpose lane.,"I-15, PM M4.0 - M6.4",Complete,Troy Bucko,Transit
D06,AI Video Detection System for signalized intersections ,"AI based detection (veh/peds/bikes), counts, and actuation of traffic signals, and Signal Timing Optimization (part of HCSP)
-Code Green/Cyclops",Fresno,Proposed,Ihab Elzaanoun,Traffic Signals
D06,Off-pavement detection system for signalized intersections ,"Detect, count, and actuate traffic signal for vehicles, peds, and bikes. (part of HCSP)
-Vantage Next",Fresno,Proposed,Ihab Elzaanoun,Traffic Signals
D06,"Runaway truck ramp detection, analytics, and notification","Detect runaway trucks into ramps, turn on signs, and notify TMC (part of HCSP)
TrafficXRoads/FLOW","Kern 5, PM 8.23,8.84",Proposed,Samuel Campos,Artificial Intelligence (AI)
D06,AI Count and Classify vehicles on 6 lane freeways. Permanent Station,"Count and Classify vehicles per FHWA 13-bin classification req. (part of HCSP)
LeetronVision",Fresno,Proposed,Samuel Campos,Detectors
D08,I-15 and I-40 TPAS,"This project will address truck parking availability by expanding the network of dynamic signage currently proposed for the I-10 Corridor Coalition TPAS multi-state project, expected to launch in 2023. Additionally, this project will enhance safety and include smart features such as lighting, wifi, and connected vehicle technology. 
Advanced information about truck parking availability will enhance safety of truck drivers and motoring public overall, will improve compliance of truck drivers with the required rest breaks, minimize the truck parking on the highway shoulders and illegal use of shoulders.
The Truck Parking Availability System (TPAS) will monitor truck parking availability at Safety Roadside Rest Areas (SRRA) in District 8 and provide real-time information to truck drivers. TPAS will be deployed at eight sites along I-15 & I-40 in San Bernardino County. The scope of work includes infrastructure improvements in addition to hardware and software installation at CV Kane (I-15 NB/SB), Valley Wells (I-15 NB/SB), Desert Oasis (I-40 EB/WB), and John Wilkie (I-40 EB/WB). Additionally, there is a possibility of an additional 9th site at a future proposed Cajon Pass Truck Parking Facility. 
The 9th site is an existing SB Cajon Truck Scale Facility at (I-15 PM R20.6/R20.9) that will close upon the construction of a new SB Weigh Station/Truck Safety Inspection Facility
Advance signs and sensors will remain in place and will be used to evaluate the effectiveness of this technology in improving information about truck parking availability.",,Proposed,Lima Saft,Freight Technology
D08,Accelerating CV2X for safety in the Coachella Valley region," Addressing I-10 incidents, work zones and VRUs with the 400 RSUs already being deployed in the CVAG region will increase the utility of CVAG's ITS infrastructure.
Cirrux GPU - Video detection on automating Personal Safety Messages in Real Time to RSU and vehicles for VRU alerts. Using Detected VRU for ped timing changes thru calls from RSU to controller. Adding MH Corbin, smart cones and smart vests for work zones can trigger alerts as well as worker/VRU information over CV2X and expand over 5G. Will look to deploy TSP for transit and School busses across the region.
 Measures of compliance and penetration by direct fulfillment. Measures of impact by tracking accidents and fatalities.
 Using opt-in app over 5G on sending VRU pr3esence to RSU for ped detection/alerts. 5G over cell phone for non-critical CV data imitating OBU-lite and ped presence.",,Proposed,Mourshad Haider,Connected & Automated Vehicles (CAV)
D11,Calexico East Land Port of Entry Joint Operations System,"To reduce traffic congestion for commercial and passenger vehicles at the border
In alignment with the USDOT Departmental and Program Priorities, the implementation of a joint operation system will address safety and reliability, resiliency, equity and access, climate, partnerships, and integration priorities to provide significant regional and international benefits. The project increases economic competitiveness by creating reliability for cross-border commercial vehicles through appointment windows at the POE; this will ensure that freight companies can meet additional appointments at seaports, warehouses, and other freight gateways, thereby saving binational companies time and money by reducing a current supply
chain bottleneck. Additionally, the project will provide more equitable travel solutions to nearby binational communities through lessening congestion and air pollution by reducing wait times at California-Baja California POEs; this will be accomplished through a traveler information system displaying real-time border wait times and a commercial vehicle appointment system. The project’s microwave communication connection will close a current communication gap in a rural area in California; binational safety and resiliency will be enhanced by having faster incident response times between binational agencies, allowing for more efficient incident closures. Binational relationships/partnerships will strengthen by establishing data-sharing protocols between federal, state, and local stakeholders. Overall, the integration of a joint operation system will improve the connectivity of the traveling public utilizing POEs.
The California Department of Transportation (Caltrans) and the Imperial County Transportation Commission (ICTC) propose developing a joint operations system for the Calexico East Port of Entry (POE), which will also debut the first land POE appointment system for commercial vehicles and potentially passenger vehicles. Using current border conditions, the system will allow commercial vehicle border users to pay for a designated appointment window to cross the border. This first-in-the-nation application will be piloted initially for commercial vehicles and could be expanded to passenger vehicles. If successful, this pilot has the potential to be scalable by expanding to the other POEs along the California-Baja California border, including the new Otay Mesa East POE, and could be utilized at other POEs along the northern and southern borders in the United States. This system will expand upon appointment systems that are currently being used at the nation’s seaports and introduce proven technologies to land POEs.


In Stage 1, Caltrans and the ICTC will develop a Concept of Operations (ConOps) to identify the operational characteristics for the joint operations system. Caltrans, ICTC, and their stakeholders will contribute to the development of the ConOps to determine the technologies that will be implemented. The ConOps will reference the design standards that will be used for the system and how different scenarios will be addressed. To explore the technologies needed for the system, Caltrans will look at each piece of information that the system intends to output and design a program for that purpose. The programming for both the truck appointment system and
messaging system will require communication between Caltrans and CBP.

For the potential Stage 2 grant, the selected prototype will be scaled-up to be integrated with the existing transportation system and real-life circumstances. The desired outcome for Stage 2 is for many commercial vehicles and possibly passenger vehicles to utilize the appointment system. By allotting commercial vehicles to specified appointment windows, the demand at border crossings will be spread throughout the day and prevent long wait times and bottlenecks. Allowing vehicles to potentially use a dedicated lane at the border will incentivize vehicles to make appointments. As a result, neighboring roads, highways, and residential areas will be less
congested and experience improvements in air quality. If the system is successful, it can be implemented to other land POEs and increase efficiency across the border.",Calexico East Land Port Entry,Proposed,Christina Ngo,Travel Demand Management
D11,Request for more RSU Site Locations and Portable Test OBUs,"We want to request a proposal for 12 more RSU Sites on the I-15 between the 163 and the 8 and order for additional 6 Portable Test OBUs
Our proposal will extend our assets for the CV2X system on the i-15 freeway
The proposal will impact our connectivity of V2X and extend our communications along the i-15 freeway
The RSUs will be operating under the broadband that is set for our already integrated units","I-15, PM R10.393 - M11.393",Proposed,David Neri,Connected & Automated Vehicles (CAV)
D11,V2X Applications at Signalized Intersections ,"•	Deploy V2X at Signalized intersections, propose applications focused on vehicle and pedestrian safety on tablets and smartphones. •	Deploy V2X at traffic signals for adaptive signal control, CV technology can provide real-time information (such as, position, speed, acceleration, and other traffic data) necessary for evaluating traffic conditions on a road network. This real-time data is used by the traffic signal controller to make better timing optimization in controlling the traffic signals.
V2X actively provides movement data to vulnerable road users, makes them aware and therefore produces predictive warnings in case of potential collisions.
V2X applications will Improve the transportation system safety, reduce the number of injuries and fatalities on the road, improve the safety of vulnerable road users, enhance traveler mobility, and by having drivers being able to move forward and not doing frequent stops this will improve greenhouse gas emissions and pollution. 
These high-precision V2X devices will use the safety band to enable communications between vehicles and traffic lights, generate real-time alerts or warnings, and adjust signals to give emergency vehicles priority in heavy traffic dramatically improving our transportation safety and mobility. ",,Proposed,Mona Attallah,Connected & Automated Vehicles (CAV)
